2.1502e-05 -2.2180e-05 -1.0115e+00 -1.0115e+00
2.1722e-05 -2.2402e-05 -1.0113e+00 -1.0113e+00
2.1941e-05 -2.2624e-05 -1.0111e+00 -1.0111e+00
2.2161e-05 -2.2847e-05 -1.0109e+00 -1.0109e+00
2.2380e-05 -2.3067e-05 -1.0107e+00 -1.0107e+00
2.2599e-05 -2.3290e-05 -1.0105e+00 -1.0105e+00
2.2819e-05 -2.3512e-05 -1.0103e+00 -1.0103e+00
2.3038e-05 -2.3732e-05 -1.0101e+00 -1.0101e+00
2.3258e-05 -2.3955e-05 -1.0099e+00 -1.0099e+00
2.3477e-05 -2.4177e-05 -1.0097e+00 -1.0097e+00
2.3697e-05 -2.4397e-05 -1.0096e+00 -1.0096e+00
2.3916e-05 -2.4619e-05 -1.0094e+00 -1.0094e+00
2.4135e-05 -2.4841e-05 -1.0092e+00 -1.0092e+00
2.4355e-05 -2.5061e-05 -1.0090e+00 -1.0090e+00
2.4574e-05 -2.5283e-05 -1.0088e+00 -1.0088e+00
2.4794e-05 -2.5505e-05 -1.0087e+00 -1.0087e+00
2.5013e-05 -2.5725e-05 -1.0085e+00 -1.0085e+00
2.5232e-05 -2.5947e-05 -1.0083e+00 -1.0083e+00
2.5452e-05 -2.6169e-05 -1.0082e+00 -1.0082e+00
2.5671e-05 -2.6390e-05 -1.0080e+00 -1.0080e+00
2.5891e-05 -2.6610e-05 -1.0078e+00 -1.0078e+00
2.6110e-05 -2.6832e-05 -1.0077e+00 -1.0077e+00
2.6330e-05 -2.7054e-05 -1.0075e+00 -1.0075e+00
2.6549e-05 -2.7274e-05 -1.0073e+00 -1.0073e+00
2.6768e-05 -2.7495e-05 -1.0072e+00 -1.0072e+00
2.6988e-05 -2.7716e-05 -1.0070e+00 -1.0070e+00
2.7207e-05 -2.7936e-05 -1.0069e+00 -1.0069e+00
2.7427e-05 -2.8158e-05 -1.0067e+00 -1.0067e+00
2.7646e-05 -2.8379e-05 -1.0065e+00 -1.0065e+00
2.7865e-05 -2.8599e-05 -1.0064e+00 -1.0064e+00
2.8085e-05 -2.8820e-05 -1.0062e+00 -1.0062e+00
2.8304e-05 -2.9041e-05 -1.0061e+00 -1.0061e+00
2.8524e-05 -2.9261e-05 -1.0059e+00 -1.0059e+00
2.8743e-05 -2.9482e-05 -1.0058e+00 -1.0058e+00
2.8962e-05 -2.9703e-05 -1.0056e+00 -1.0056e+00
2.9182e-05 -2.9924e-05 -1.0055e+00 -1.0055e+00
2.9401e-05 -3.0144e-05 -1.0053e+00 -1.0053e+00
2.9621e-05 -3.0365e-05 -1.0052e+00 -1.0052e+00
2.9840e-05 -3.0586e-05 -1.0051e+00 -1.0051e+00
3.0060e-05 -3.0805e-05 -1.0049e+00 -1.0049e+00
3.0279e-05 -3.1026e-05 -1.0048e+00 -1.0048e+00
3.0498e-05 -3.1247e-05 -1.0046e+00 -1.0046e+00
3.0718e-05 -3.1467e-05 -1.0045e+00 -1.0045e+00
3.0937e-05 -3.1688e-05 -1.0044e+00 -1.0044e+00
3.1157e-05 -3.1908e-05 -1.0042e+00 -1.0042e+00
3.1376e-05 -3.2128e-05 -1.0041e+00 -1.0041e+00
3.1595e-05 -3.2348e-05 -1.0039e+00 -1.0039e+00
