1.7600e-05 -1.8226e-05 -1.0154e+00 -1.0154e+00
1.7780e-05 -1.8409e-05 -1.0152e+00 -1.0152e+00
1.7959e-05 -1.8590e-05 -1.0150e+00 -1.0150e+00
1.8139e-05 -1.8772e-05 -1.0148e+00 -1.0148e+00
1.8318e-05 -1.8955e-05 -1.0146e+00 -1.0146e+00
1.8498e-05 -1.9138e-05 -1.0144e+00 -1.0144e+00
1.8678e-05 -1.9319e-05 -1.0142e+00 -1.0142e+00
1.8857e-05 -1.9501e-05 -1.0140e+00 -1.0140e+00
1.9037e-05 -1.9684e-05 -1.0139e+00 -1.0139e+00
1.9216e-05 -1.9866e-05 -1.0137e+00 -1.0137e+00
1.9396e-05 -2.0047e-05 -1.0135e+00 -1.0135e+00
1.9576e-05 -2.0229e-05 -1.0133e+00 -1.0133e+00
1.9755e-05 -2.0412e-05 -1.0131e+00 -1.0131e+00
1.9935e-05 -2.0594e-05 -1.0129e+00 -1.0130e+00
2.0114e-05 -2.0775e-05 -1.0128e+00 -1.0128e+00
2.0294e-05 -2.0957e-05 -1.0126e+00 -1.0126e+00
2.0473e-05 -2.1139e-05 -1.0124e+00 -1.0124e+00
2.0653e-05 -2.1322e-05 -1.0123e+00 -1.0123e+00
2.0833e-05 -2.1502e-05 -1.0121e+00 -1.0121e+00
2.1012e-05 -2.1684e-05 -1.0119e+00 -1.0119e+00
2.1192e-05 -2.1866e-05 -1.0117e+00 -1.0117e+00
2.1371e-05 -2.2048e-05 -1.0116e+00 -1.0116e+00
2.1551e-05 -2.2229e-05 -1.0114e+00 -1.0114e+00
2.1731e-05 -2.2411e-05 -1.0113e+00 -1.0113e+00
2.1910e-05 -2.2593e-05 -1.0111e+00 -1.0111e+00
2.2090e-05 -2.2775e-05 -1.0109e+00 -1.0109e+00
2.2269e-05 -2.2955e-05 -1.0108e+00 -1.0108e+00
2.2449e-05 -2.3137e-05 -1.0106e+00 -1.0106e+00
2.2629e-05 -2.3319e-05 -1.0105e+00 -1.0105e+00
2.2808e-05 -2.3501e-05 -1.0103e+00 -1.0103e+00
2.2988e-05 -2.3681e-05 -1.0101e+00 -1.0101e+00
2.3167e-05 -2.3863e-05 -1.0100e+00 -1.0100e+00
2.3347e-05 -2.4045e-05 -1.0098e+00 -1.0098e+00
2.3527e-05 -2.4227e-05 -1.0097e+00 -1.0097e+00
2.3706e-05 -2.4407e-05 -1.0095e+00 -1.0095e+00
2.3886e-05 -2.4588e-05 -1.0094e+00 -1.0094e+00
2.4065e-05 -2.4770e-05 -1.0092e+00 -1.0093e+00
2.4245e-05 -2.4952e-05 -1.0091e+00 -1.0091e+00
2.4424e-05 -2.5132e-05 -1.0090e+00 -1.0090e+00
2.4604e-05 -2.5313e-05 -1.0088e+00 -1.0088e+00
2.4784e-05 -2.5495e-05 -1.0087e+00 -1.0087e+00
2.4963e-05 -2.5676e-05 -1.0085e+00 -1.0085e+00
2.5143e-05 -2.5856e-05 -1.0084e+00 -1.0084e+00
2.5322e-05 -2.6038e-05 -1.0083e+00 -1.0083e+00
2.5502e-05 -2.6219e-05 -1.0081e+00 -1.0081e+00
2.5682e-05 -2.6401e-05 -1.0080e+00 -1.0080e+00
2.5861e-05 -2.6581e-05 -1.0078e+00 -1.0078e+00
2.6041e-05 -2.6762e-05 -1.0077e+00 -1.0077e+00
2.6220e-05 -2.6943e-05 -1.0076e+00 -1.0076e+00
2.6400e-05 -2.7125e-05 -1.0074e+00 -1.0074e+00
